year,developer,price
2009,Tripwire Interactive,7.99
2008,Artech Studios,9.99
2009,"PopTop Software,BreakAway Games,Frog City Software",6.99
2009,SpinTop Games,4.99
2008,Capcom,9.99
2009,Capcom,9.99
2009,Deadline Games,4.99
2009,Sakari Indie,4.99
2003,"BioWare,Aspyr (Mac)",9.99
2009,Hemisphere Games,9.99
1998,Black Isle Studios,9.99
2001,14° East,9.99
1999,Xatrix Entertainment,9.99
2000,Shiny Entertainment,9.99
2009,Telltale Games,19.99
2009,iWin,19.99
2009,iWin,9.99
2009,Size Five Games,4.99
2005,Ubisoft Montreal,9.99
2009,Unicorn Games Studio,4.99
2009,Blue Fang,14.99
2009,IO Interactive,9.99
2009,"Freeze Tag Inc.,iQ212",19.99
1999,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",19.99
2009,"Vectorpark, Inc.",2.99
2009,All Aboard,24.99
2009,MumboJumbo,9.99
2009,Telltale Games,19.99
2009,NovaLogic,19.99
2009,Dovetail Games,17.99
2009,PlayFirst,9.99
2009,Dovetail Games,19.99
2009,Piranha Bytes,9.99
2009,Honeyslug,3.99
2009,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",9.99
2009,Amanita Design,9.99
2007,EA Los Angeles,9.99
2009,Slightly Mad Studios,19.99
2009,Runic Games,14.99
2009,EA Los Angeles,19.99
2009,FireFly Studios,19.99
2009,Nitro Games,4.99
2009,Homegrown Games,9.99
2009,"Phenomic,THQ Nordic",14.99
2009,Animation Arts,9.99
2009,Stormregion,4.99
2009,Telltale Games,19.99
2009,1C Company,4.99
2009,Konstantin Koshutin,4.99
2009,Phenomic,9.99
2005,Wargaming.net,9.99
2003,Wargaming.net,9.99
2009,HeR Interactive,6.99
2009,Croteam,14.99
2009,Animation Arts,9.99
2009,BioWare,19.99
2009,Citeremis Inc.,4.99
2009,Yullaby,1.99
2009,Crystal Empire Games,9.99
2009,"Infinity Ward,Aspyr (Mac)",19.99
2009,"Traveller's Tales,Feral Interactive (Mac)",19.99
2007,"Triumph Studios,Virtual Programming",4.99
2008,"Triumph Studios,Virtual Programming",9.99
2007,EA Los Angeles,14.99
2008,KranX Productions,4.99
2009,EA Los Angeles,19.99
2009,Positech Games,14.99
2009,Gaijin Entertainment,9.99
2005,inXile Entertainment,9.99
2009,Defence Alliance Team,Free
2009,"LucasArts,Aspyr Studios",19.99
2009,Paradox Interactive,9.99
2009,Bethesda Game Studios,19.99
2009,Positech Games,5.99
2007,Hip Soft,9.99
2008,Hip Soft,9.99
2009,Hip Soft,9.99
2009,iWin,9.99
2009,Spidermonk Entertainment,1.99
2008,Capcom,19.99
2010,ClockStone Studios,9.99
2009,Hip Soft,9.99
2010,Octoshark Studios,Free
2008,Alawar,4.99
2010,Alawar,9.99
2009,Alawar,9.99
2007,Alawar,4.99
2009,Alawar,4.99
2010,Sandlot Games,6.99
2010,Sandlot Games,6.99
2010,Cateia Games,6.99
2010,Chaos Concept,9.99
2010,Traveller's Tales,19.99
2010,New Star Games Ltd,4.99
2010,Paradox Interactive,0.99
2010,The Farm 51,6.99
2007,Awem Studio,9.99
2010,Rebellion,7.49
2001,Croteam,9.99
2010,All Aboard,19.99
2010,TaleWorlds Entertainment,19.99
2010,ZoopTEK,4.99
2010,Beatnik Games,4.99
2010,Fatshark,9.99
2010,Rockstar North / Toronto,19.99
2010,Other Ocean Interactive,4.99
2010,Nemesys Games,0.99
2010,Cold Beam Games,9.99
2010,Telltale Games,19.99
2010,Realmforge Studios,9.99
2010,Gaijin Entertainment,4.99
2010,The Odd Gentlemen,4.99
2003,THQ Nordic,4.99
2001,THQ Nordic,4.99
2010,Red Chain Games Ltd.,1.99
2006,Big Fish Games,9.99
2008,Big Fish Games,9.99
2010,"The Creative Assembly,Feral Interactive (Mac)",2.99
2008,Sarbakan,6.99
2009,PlayFirst,6.99
2009,Absolutist Ltd.,6.99
2007,PlayFirst,6.99
2009,PlayFirst,6.99
2010,PlayFirst,6.99
2008,PlayFirst,6.99
2007,PlayFirst,6.99
2009,PlayFirst,6.99
2010,G5 Entertainment,9.99
2010,Climax Studios,14.99
2010,Muse Games,4.99
2010,Ideas Pad,4.99
2010,Ubisoft,19.99
2010,Kokakiki,4.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,D3T Limited,61.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,4.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,Obsidian Entertainment,14.99
2010,Team17 Software Ltd.,9.99
2010,Bethesda Game Studios,4.99
2010,Hidden Path Entertainment,0.99
2010,Bethesda Game Studios,4.99
2010,Bethesda Game Studios,4.99
2010,Bethesda Game Studios,4.99
2010,Valve,Free
2010,Bethesda Game Studios,4.99
2003,"EA - Maxis,Aspyr (Mac)",19.99
2010,"Akella,.dat",14.99
2010,"Arcen Games, LLC",4.99
2010,Invent4 Entertainment,9.99
2010,Blue Byte,3.99
2008,Dagger Games,9.99
2010,IO Interactive,9.99
2010,Rune Forge,9.99
2010,Paradox Interactive,0.99
2010,N3V Games,19.99
2010,Ino-Co,4.99
2011,"2K Czech,Feral Interactive (Mac)",29.99
2010,Dovetail Games,4.99
2010,Infinite Interactive,9.99
2010,doublesix,9.99
2010,Playbrains,1.99
2010,Playbrains,1.99
2010,Playbrains,1.99
2010,Playbrains,2.99
2010,Paradox Development Studio,9.99
2010,VStep,19.99
2010,Team17 Digital Ltd,19.99
2010,Muzzy Lane Software,14.99
2010,Bohemia Interactive,8.99
2010,Paradox Development Studio,19.99
2010,Playbrains,1.99
2010,IO Interactive,5.99
2010,IO Interactive,1.99
2010,N3V Games,19.99
2010,IO Interactive,2.99
2002,GSC Game World,4.99
2010,Revolution Software Ltd,5.99
2010,Zoë Mode,4.99
2010,"2K Czech,Feral Interactive (Mac)",9.99
2010,City Interactive,1.99
2010,Terry Cavanagh,4.99
2010,Blue Byte,3.99
2010,Frictional Games,19.99
2010,EasyGameStation,19.99
2010,Dedication Games,3.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,exosyphen studios,4.99
2010,exosyphen studios,4.99
2010,Subsoap,9.99
2010,Gaming Minds Studios,14.99
2010,SEGA,2.99
2010,Katauri Interactive,14.99
2010,Dovetail Games,4.99
2010,"Firaxis Games,Aspyr (Mac, Linux)",29.99
2010,Nitro Games,4.99
2002,Croteam,9.99
2010,Blind Mind Studios,9.99
2010,Krome Studios,2.99
2010,Team17 Digital Ltd,9.99
2010,Vigil Games,19.99
1999,Egosoft,4.99
2010,NeoCoreGames,9.99
2007,ArenaNet®,19.99
2000,Egosoft,4.99
2010,I Sioux Game Productions B.V.,7.99
2010,I Sioux Game Productions B.V.,14.99
2010,Electronic Arts,19.99
2010,"Headup Games,Silent Dreams",9.99
2010,"CAPCOM CO., LTD.",19.99
2010,Stickmen Studios,4.99
2010,Obsidian Entertainment,9.99
2010,Dmytry Lavrov,6.99
2010,Ivy Games,4.99
2010,Noumenon Games,9.99
2010,"Firaxis Games,Aspyr (Mac, Linux)",4.99
2010,Hothead Games,14.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,4.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,SEGA,2.99
2010,Klei Entertainment,9.99
2010,Teotl Studios,9.99
2010,Aspyr Studios,19.99
2010,Firemint,4.99
2010,Ascaron Entertainment ltd.,4.99
2010,Gaijin Games,9.99
2010,1C Company,1.99
2010,Nitro Games,4.99
2010,Tomkorp Computer Solutions Inc.,4.99
2010,Paradox Interactive,1.99
2010,Double Helix Games,3.99
2010,Centauri Production,9.99
2009,Centauri Production,6.99
2010,Centauri Production,12.99
2007,Altar Games,4.99
2010,React Games,9.99
2010,Treyarch,39.99
2010,Sonic Boom Games,0.99
2010,Joshyy,4.99
2010,Oddworld Inhabitants,4.99
2010,Sonic Boom Games,1.99
2010,Oddworld Inhabitants,9.99
2010,"Ntreev Soft Co., Ltd.",4.99
2010,Telltale Games,19.99
2002,Rockstar Games,9.99
2005,Rockstar Games,14.99
2011,Crystal Dynamics Inc.,3.49
2011,Crystal Dynamics Inc.,3.49
2011,Crystal Dynamics,3.49
2011,Crystal Dynamics Inc.,3.49
2003,Rockstar Games,9.99
2011,Brightside Games,9.99
2011,Extend Studio,4.99
2011,BlueGiant Interactive,14.99
2011,Visceral Games,19.99
2011,Big Fish Studios,9.99
2011,Cateia Games,4.99
2011,SEGA,2.99
2011,Uber Entertainment,4.99
2011,MumboJumbo,9.99
2011,SEGA,2.99
2011,SEGA,2.99
2011,SEGA,2.99
2011,SEGA,2.99
2011,SEGA,2.99
2011,SEGA,4.99
2011,SEGA,2.99
2011,SEGA,4.99
2011,SEGA,2.99
2011,SEGA,4.99
2011,SEGA,2.99
2011,SEGA,2.99
2009,The Sims Studio,19.99
2011,VStep,3.99
2010,The Sims Studio,19.99
2009,The Sims Studio,19.99
2010,The Sims Studio,19.99
2010,The Sims Studio,19.99
2010,The Sims Studio,19.99
2011,Trinoteam,4.99
2011,Virtual Prophecy Entertainment,14.99
2011,The Sims Studio,19.99
2011,Mediatonic,5.99
2011,Cyan Worlds,5.99
2011,Petroglyph,2.99
2011,Reality Pump Studios,19.99
2011,NeoCoreGames,3.99
2011,Positech Games,6.99
2011,NeoCoreGames,3.99
2011,Realmforge Studios,9.99
2011,"Arcen Games, LLC",4.99
2011,DTP,19.99
2011,Stainless Games,9.99
2011,Fakt Software,4.99
2011,Gaijin Games,9.99
2011,"Kaos Studios,Digital Extremes",19.99
2011,Red Redemption,9.99
2011,Copenhagen Game Collective,2.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011,"Relic Entertainment,Feral interactive (Mac/Linux)",0.99
2011,"Relic Entertainment,Feral interactive (Mac/Linux)",0.99
2013,Trion Worlds,Free to Play
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",29.99
2011,Stout Games,3.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011,Black Lion Studios,9.99
2011,Colossal Order Ltd.,3.99
2011,VStep,3.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99
2011,SimBin,3.99
2011,11 bit studios,9.99
2010,Ntronium Games,14.99
2011,Martin Ivanov,9.99
2011,Realmforge Studios,3.99
2011,800 North and Digital Ranch,9.99
2011,Gaming Minds Studios,9.99
2011,Valve,19.99
2011,Arrowhead Game Studios,4.99
2011,Coffee Stain Studios,9.99
2011,1C:InoCo,19.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",9.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011,Mode 7,24.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99
2011,inner seas,4.99
2011,inXile Entertainment,4.99
2011,Fatshark,9.99
2011,The Sims Studio,19.99
2011,Colossal Order Ltd.,5.99
2011,Arrowhead Game Studios,0.99
2011,Behaviour,1.99
2009,Microids,7.99
2005,Microids,7.99
2011,Treyarch,14.99
2011,Obsidian Entertainment,14.99
2011,Gearbox Software,19.99
2011,Red Duck Inc.,Free to Play
2009,Cryptic Studios,Free to Play
2011,Grey Havens,Free to Play
2011,"Apus Software,Three Donkeys LLC",9.99
2011,Colossal Order Ltd.,3.99
2011,Reality Pump Studios,9.99
2011,Peter Brinson and Kurosh ValaNejad,Free
2011,Stainless Games Ltd,19.99
2011,Bacon Wrapped Games,9.99
2011,Cold Beam Games,4.99
2011,Mode 7,5.99
2011,Murudai,9.99
2011,Totem Games,9.99
2011,Totem games,9.99
2011,Arrowhead Game Studios,2.99
2011,Totem Games,9.99
2011,Day 1 Studios,19.99
2011,Arrowhead Game Studios,1.99
2011,Arrowhead Game Studios,1.99
2011,N3V Games,19.99
2011,Arrowhead Game Studios,1.99
2011,Paradox Interactive,1.99
2011,Bedlam Games,14.99
2011,SimBin,3.99
2011,Giants Software,6.99
2011,Paradox Interactive,1.99
2011,Paradox Development Studio,4.99
2011,Team17 Digital Ltd,4.99
2011,Team17 Digital Ltd,4.99
2011,Team17 Digital Ltd,4.99
2011,Realmforge Studios,2.99
2011,Team17 Digital Ltd,4.99
2011,Telltale Games,9.99
2011,Tripwire Interactive,7.99
2011,Ageod,3.99
2011,Secret Base,0.99
2011,Obsidian Entertainment,4.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99
2011,YeaBoing,4.99
2011,Dovetail Games,8.99
2011,"Kaos Studios,Digital Extremes",0.99
2011,Mystic Box,9.99
2011,Digitalmindsoft,1.99
2011,"Dejobaan Games, LLC",1.99
2011,Lunar Giant,0.99
2011,Extend Studio,0.99
2011,Colossal Order Ltd.,2.99
2010,HeR Interactive,6.99
2011,Bohemia Interactive,4.99
2011,Zachtronics,1.99
2011,Haemimont Games,14.99
2011,HeR Interactive,6.99
2010,HeR Interactive,6.99
2011,Total Eclipse,6.99
2011,Ageod,3.99
2011,Two Tribes,6.99
2011,"Firaxis Games,Aspyr (Mac, Linux)",4.99
2011,"Firaxis Games,Aspyr (Mac, Linux)",4.99
2011,Coffee Stain Studios,9.99
2011,exosyphen studios,4.99
2011,MinMax Games Ltd.,9.99
2011,TimeGate Studios,3.99
2011,TimeGate Studios,2.99
2011,TimeGate Studios,3.99
2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99
2011,Obsidian Entertainment,4.99
2011,Three Rings,Free to Play
2011,Hothead Games,14.99
2011,Relic,29.99
2011,1C Company,7.99
2012,Flying Wild Hog,14.99
2011,Ageod,3.99
2011,"Octane Games,Meridian4",9.99
2011,ACE Team,9.99
2011,Tripwire Interactive,19.99
2011,Colossal Order Ltd.,5.99
2011,Stainless Games Ltd,4.99
2011,Paradox Development Studio,9.99
2011,PomPom,4.99
2010,HeR Interactive,6.99
2011,Reality Pump Studios,9.99
2011,NGD Studios,4.99
2011,Gearbox Software,9.99
2011,Blackhole,19.99
2011,Gas Powered Games,14.99
2011,Edmund McMillen and Florian Himsl,4.99
2011,Giants Software,6.99
2011,1C-Avalon,4.99
2007,Gas Powered Games,14.99
2011,Red Redemption,18.99
2011,Steel Monkeys,1.99
2011,Red Redemption,2.99
2011,Red Redemption,4.99
2011,City Interactive,1.99
2011,"Games Farm,3Division",5.99
2011,Red Redemption,3.99
2011,Capcom Vancouver,19.99
2011,Hothead Games,1.99
2011,"Akella,.dat",14.99
2011,Days of Wonder,Free to Play
2011,Dovetail Games,8.99
2011,Double Fine Productions,9.99
2011,The Sims Studio,19.99
2011,Positech Games,5.99
2011,"Vlambeer,Croteam",4.99
2011,Iridium Studios,4.99
2011,Ideas Pad,4.99
2011,b-Alive,9.99
2011,Spellbound Studios,14.99
2011,KTX Software,8.99
2011,Robot Entertainment,1.99
2011,Obsidian Entertainment,6.99
2011,Daybreak Game Company,Free to Play
2011,"Haemimont Games,Feral Interactive (Mac)",2.99
2011,Devil's Details,19.99
2011,HeR Interactive,6.99
2011,Robot Entertainment,2.99
2011,"Infinity Ward,Sledgehammer Games,Aspyr (Mac)",39.99
2011,"Team Bondi,Rockstar Leeds",19.99
2011,"Team Bondi,Rockstar Leeds",11.99
2011,Digitalmindsoft,1.99
2011,Final Form Games,4.99
2011,Final Form Games,2.99
2011,Trendy Entertainment,0.99
2011,Trendy Entertainment,1.99
2011,Cipher Prime Studios,6.99
2011,Arrowhead Game Studios,2.99
2011,Digital Reality,9.99
2011,Arrowhead Game Studios,1.99
2011,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",4.99
2011,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.59
2011,Arrowhead Game Studios,5.99
2011,Paradox Interactive,1.99
2011,Paradox Interactive,1.99
2010,Unicorn Games Studio,3.99
2011,Stardock Entertainment,19.99
2011,"KrossRails,Dovetail Games",12.99
2011,Reloaded Productions,Free to Play
2012,Wadjet Eye Games,4.99
2011,Digitalmindsoft,1.99
2011,Tripwire Interactive,7.99
2011,Team 6 Studios,9.99
2011,Ubisoft Montreal,3.99
2011,Trendy Entertainment,1.99
2011,"Haemimont Games,Feral Interactive (Mac)",2.99
2011,"Vicious Cycle Software, Inc.",9.99
2011,Stainless Games Ltd,2.99
2011,Relic,0.99
2011,Relic,0.99
2011,"Gaslamp Games, Inc.",2.99
2011,Relic,0.99
2011,Nitro Games,4.99
2011,Relic,0.99
2011,Egosoft,9.99
2013,Frozenbyte,19.99
2011,Trendy Entertainment,3.99
2011,ASTRO PORT,5.99
2011,Lionhead Studios,9.99
2011,Avalanche Studios,2.99
2011,Fakt Software,2.99
2011,Trendy Entertainment,1.99
2011,Volition,2.99
2011,Avalanche Studios,4.99
2011,Relic,2.99
2011,Relic,2.99
2011,Relic,2.99
2011,Relic,2.99
2011,Relic,9.99
2011,"D3Publisher of America, Inc.",0.99
2011,"D3Publisher of America, Inc.",0.99
2011,"D3Publisher of America, Inc.",0.99
2011,"D3Publisher of America, Inc.",0.99
2012,Unigine Corp.,7.99
2012,Dovetail Games,12.99
2012,NeocoreGames,9.99
2012,NEOCORE GAMES,4.99
2005,Croteam,9.99
2012,Lizsoft,19.99
2010,Cryptic Studios,Free to Play
2012,Trendy Entertainment,2.99
2012,Trendy Entertainment,1.99
2012,"Coreplay GmbH,Bigmoon Studios",19.99
2012,RichMakeGame,9.99
2012,Paradox Development Studio,9.99
2012,Q-Games Ltd.,9.99
2012,Q-Games Ltd.,5.99
2012,Owlchemy Labs,4.99
2012,Puppygames,9.99
2012,inXile Entertainment,0.99
2012,Paradox Development Studio,39.99
2012,Paradox Interactive,1.99
2012,Paradox Interactive,1.99
2012,"WXP Games, LLC",1.99
2012,Remedy Entertainment,9.99
2010,Thomson Interactive,19.99
2012,Arrowhead Game Studios,1.99
2011,Trashmasters,11.99
2012,Little Green Men Games,13.99
2012,Hitbox Team,3.99
2012,Wild Shadow Studios,Free to Play
2012,Paradox Interactive,1.99
2012,Volition,6.99
2012,MumboJumbo,9.99
2012,Brandon Brizzi,4.99
2012,Ubisoft Montreal,9.99
2012,"UBIart Montpellier,Feral Interactive (Mac)",19.99
2012,Med-Art,9.99
2012,Grey Havens,5.99
2012,virtualRailroads,12.99
2012,Colossal Order Ltd.,3.99
2012,Strange Loop Games,19.99
2012,Cobra Mobile,4.99
2012,MumboJumbo,9.99
2012,Remedy Entertainment,9.99
2012,The Sims Studio,19.99
2012,Double Fine Productions,9.99
2012,Bootsnake Games,4.99
2012,Aerosoft GmbH,19.99
2012,Dovetail Games,8.99
2012,Tribute Games Inc.,2.99
2012,Most Wanted Entertainment,9.99
2012,Trickstar Games,9.99
2012,Nimbly Games,4.99
2012,Trendy Entertainment,1.99
2012,SEGA,4.99
2012,Trendy Entertainment,3.99
2012,3 Sprockets,3.99
2012,Cyan Worlds,9.99
2012,Trendy Entertainment,0.99
2012,Strawdog Studios Ltd,4.99
2012,Nihon Falcom,14.99
2012,Bohemia Interactive,8.99
2012,Eden Industries,1.99
2012,Volition,6.99
2012,PomPom Games,4.99
2012,Trapdoor Inc.,9.99
2012,"Big Huge Games,38 Studios",9.99
2012,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",29.99
2012,Pendulo Studios,9.99
2012,Pixelante Game Studios,4.99
2012,Fakt Software,2.99
2012,MumboJumbo,9.99
2012,MumboJumbo,9.99
2012,"Haemimont Games,Feral Interactive (Mac)",6.99
2012,Reality Pump,9.99
2012,Dovetail Games,8.99
